Num,Date,Date,Open,High,Low,Close,Volume,Adj Close
1,1/3/1950,18266,16.66,16.66,16.66,16.66,1260000,16.66
2,1/4/1950,18267,16.85,16.85,16.85,16.85,1890000,16.85
3,1/5/1950,18268,16.93,16.93,16.93,16.93,2550000,16.93
4,1/6/1950,18269,16.98,16.98,16.98,16.98,2010000,16.98
5,1/9/1950,18272,17.08,17.08,17.08,17.08,2520000,17.08
6,1/10/1950,18273,17.030001,17.030001,17.030001,17.030001,2160000,17.030001
7,1/11/1950,18274,17.09,17.09,17.09,17.09,2630000,17.09
8,1/12/1950,18275,16.76,16.76,16.76,16.76,2970000,16.76
9,1/13/1950,18276,16.67,16.67,16.67,16.67,3330000,16.67
10,1/16/1950,18279,16.719999,16.719999,16.719999,16.719999,1460000,16.719999
11,1/17/1950,18280,16.860001,16.860001,16.860001,16.860001,1790000,16.860001
12,1/18/1950,18281,16.85,16.85,16.85,16.85,1570000,16.85
13,1/19/1950,18282,16.870001,16.870001,16.870001,16.870001,1170000,16.870001
14,1/20/1950,18283,16.9,16.9,16.9,16.9,1440000,16.9
15,1/23/1950,18286,16.92,16.92,16.92,16.92,1340000,16.92
16,1/24/1950,18287,16.860001,16.860001,16.860001,16.860001,1250000,16.860001
17,1/25/1950,18288,16.74,16.74,16.74,16.74,1700000,16.74
18,1/26/1950,18289,16.73,16.73,16.73,16.73,1150000,16.73
19,1/27/1950,18290,16.82,16.82,16.82,16.82,1250000,16.82
20,1/30/1950,18293,17.02,17.02,17.02,17.02,1640000,17.02
21,1/31/1950,18294,17.049999,17.049999,17.049999,17.049999,1690000,17.049999
22,2/1/1950,18295,17.049999,17.049999,17.049999,17.049999,1810000,17.049999
23,2/2/1950,18296,17.23,17.23,17.23,17.23,2040000,17.23
24,2/3/1950,18297,17.290001,17.290001,17.290001,17.290001,2210000,17.290001
25,2/6/1950,18300,17.32,17.32,17.32,17.32,1490000,17.32
26,2/7/1950,18301,17.23,17.23,17.23,17.23,1360000,17.23
27,2/8/1950,18302,17.209999,17.209999,17.209999,17.209999,1470000,17.209999
28,2/9/1950,18303,17.280001,17.280001,17.280001,17.280001,1810000,17.280001
29,2/10/1950,18304,17.24,17.24,17.24,17.24,1790000,17.24
30,2/14/1950,18308,17.059999,17.059999,17.059999,17.059999,2210000,17.059999
31,2/15/1950,18309,17.059999,17.059999,17.059999,17.059999,1730000,17.059999
32,2/16/1950,18310,16.99,16.99,16.99,16.99,1920000,16.99
33,2/17/1950,18311,17.15,17.15,17.15,17.15,1940000,17.15
34,2/20/1950,18314,17.200001,17.200001,17.200001,17.200001,1420000,17.200001
35,2/21/1950,18315,17.17,17.17,17.17,17.17,1260000,17.17
36,2/23/1950,18317,17.209999,17.209999,17.209999,17.209999,1310000,17.209999
37,2/24/1950,18318,17.280001,17.280001,17.280001,17.280001,1710000,17.280001
38,2/27/1950,18321,17.280001,17.280001,17.280001,17.280001,1410000,17.280001
39,2/28/1950,18322,17.219999,17.219999,17.219999,17.219999,1310000,17.219999
